t_sec,id1_shoulder_pan[%],id2_shoulder_lift[%],id3_elbow_flex[mA],id4_wrist_flex[mA],id5_wrist_roll[mA],id6_gripper[mA]
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.035,0.0,0.0,0.0,0.0,0.0,0.0
0.056,0.0,0.0,0.0,0.0,0.0,0.0
0.077,0.0,0.0,0.0,0.0,0.0,0.0
0.098,0.0,0.0,0.0,0.0,0.0,0.0
0.119,0.0,0.0,0.0,0.0,0.0,0.0
0.176,0.0,0.0,0.0,0.0,0.0,0.0
0.197,0.0,0.0,0.0,0.0,0.0,0.0
0.218,0.0,0.0,0.0,0.0,0.0,0.0
0.239,0.0,0.0,0.0,0.0,0.0,0.0
0.26,0.0,0.0,0.0,0.0,0.0,0.0
0.281,0.0,0.0,0.0,0.0,0.0,0.0
0.302,0.0,0.0,0.0,0.0,0.0,0.0
0.323,0.0,0.0,0.0,0.0,0.0,0.0
0.344,0.0,0.0,0.0,0.0,0.0,0.0
0.389,0.0,0.0,0.0,0.0,0.0,0.0
0.41,0.0,0.0,0.0,0.0,0.0,0.0
0.431,0.0,0.0,0.0,0.0,0.0,0.0
0.452,0.0,0.0,0.0,0.0,0.0,0.0
0.473,0.0,0.0,0.0,0.0,0.0,0.0
0.494,0.0,0.0,0.0,0.0,0.0,0.0
0.515,0.0,0.0,0.0,0.0,0.0,0.0
0.536,0.0,0.0,0.0,0.0,0.0,0.0
0.557,0.0,0.0,0.0,0.0,0.0,0.0
0.606,0.0,0.0,0.0,0.0,0.0,0.0
0.627,0.0,0.0,0.0,0.0,0.0,0.0
0.648,0.0,0.0,0.0,0.0,0.0,0.0
0.669,0.0,0.0,0.0,0.0,0.0,0.0
0.69,0.0,0.0,0.0,0.0,0.0,0.0
0.711,0.0,0.0,0.0,0.0,0.0,0.0
0.732,0.0,0.0,0.0,0.0,0.0,0.0
0.753,0.0,0.0,0.0,0.0,0.0,0.0
0.774,0.0,0.0,0.0,0.0,0.0,0.0
0.819,0.0,0.0,0.0,0.0,0.0,0.0
0.84,0.0,0.0,0.0,0.0,0.0,0.0
0.861,0.0,0.0,0.0,0.0,0.0,0.0
0.882,0.0,0.0,0.0,0.0,0.0,0.0
0.903,0.0,0.0,0.0,0.0,0.0,0.0
0.924,0.0,0.0,0.0,0.0,0.0,0.0
0.945,0.0,0.0,0.0,0.0,0.0,0.0
0.966,0.0,0.0,0.0,0.0,0.0,0.0
0.987,0.0,0.0,0.0,0.0,0.0,0.0
1.028,0.0,0.0,0.0,0.0,0.0,0.0
1.049,0.0,0.0,0.0,0.0,0.0,0.0
1.07,0.0,0.0,0.0,0.0,0.0,0.0
1.092,0.0,0.0,0.0,0.0,0.0,0.0
1.113,0.0,0.0,0.0,0.0,0.0,0.0
1.134,0.0,0.0,0.0,0.0,0.0,0.0
1.154,0.0,0.0,0.0,0.0,0.0,0.0
1.175,0.0,0.0,0.0,0.0,0.0,0.0
1.196,0.0,0.0,0.0,0.0,0.0,0.0
1.24,0.0,0.0,0.0,0.0,0.0,0.0
1.261,0.0,0.0,0.0,0.0,0.0,0.0
1.282,0.0,0.0,0.0,0.0,0.0,0.0
1.303,0.0,0.0,0.0,0.0,0.0,0.0
1.324,0.0,0.0,0.0,0.0,0.0,0.0
1.345,0.0,0.0,0.0,0.0,0.0,0.0
1.366,0.0,0.0,0.0,0.0,0.0,0.0
1.387,0.0,0.0,0.0,0.0,0.0,0.0
1.408,0.0,0.0,0.0,0.0,0.0,0.0
1.451,0.0,0.0,0.0,0.0,0.0,0.0
1.471,0.0,0.0,0.0,0.0,0.0,0.0
1.492,0.0,0.0,0.0,0.0,0.0,0.0
1.513,0.0,0.0,0.0,0.0,0.0,0.0
1.534,0.0,0.0,0.0,0.0,0.0,0.0
1.554,0.0,0.0,0.0,0.0,0.0,0.0
