t_sec,id1_shoulder_pan[mA],id2_shoulder_lift[mA],id3_elbow_flex[mA],id4_wrist_flex[mA],id5_wrist_roll[mA],id6_gripper[mA]
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.034,0.0,0.0,0.0,0.0,0.0,0.0
0.055,0.0,0.0,0.0,0.0,0.0,0.0
0.076,0.0,0.0,0.0,0.0,0.0,0.0
0.097,0.0,0.0,0.0,0.0,0.0,0.0
0.118,0.0,0.0,0.0,0.0,0.0,0.0
0.176,0.0,0.0,0.0,0.0,0.0,0.0
0.197,0.0,0.0,0.0,0.0,0.0,0.0
0.218,0.0,0.0,0.0,0.0,0.0,0.0
0.239,0.0,0.0,0.0,0.0,0.0,0.0
0.26,0.0,0.0,0.0,0.0,0.0,0.0
0.281,0.0,0.0,0.0,0.0,0.0,0.0
0.302,0.0,0.0,0.0,0.0,0.0,0.0
0.323,0.0,0.0,0.0,0.0,0.0,0.0
0.344,0.0,0.0,0.0,0.0,0.0,0.0
0.394,0.0,0.0,0.0,0.0,0.0,0.0
0.415,0.0,0.0,0.0,0.0,0.0,0.0
0.436,0.0,0.0,0.0,0.0,0.0,0.0
0.457,0.0,0.0,0.0,0.0,0.0,0.0
0.478,0.0,0.0,0.0,0.0,0.0,0.0
0.499,0.0,0.0,0.0,0.0,0.0,0.0
0.52,0.0,0.0,0.0,0.0,0.0,0.0
0.541,0.0,0.0,0.0,0.0,0.0,0.0
0.562,0.0,0.0,0.0,0.0,0.0,0.0
0.615,0.0,0.0,0.0,0.0,0.0,0.0
0.636,0.0,0.0,0.0,0.0,0.0,0.0
0.657,0.0,0.0,0.0,0.0,0.0,0.0
0.678,0.0,0.0,0.0,0.0,0.0,0.0
0.699,0.0,0.0,0.0,0.0,0.0,0.0
0.72,0.0,0.0,0.0,0.0,0.0,0.0
0.741,0.0,0.0,0.0,0.0,0.0,0.0
0.762,0.0,0.0,0.0,0.0,0.0,0.0
0.783,0.0,0.0,0.0,0.0,0.0,0.0
0.84,0.0,0.0,0.0,0.0,0.0,0.0
0.861,0.0,0.0,0.0,0.0,0.0,0.0
0.882,0.0,0.0,0.0,0.0,0.0,0.0
0.903,0.0,0.0,0.0,0.0,0.0,0.0
0.924,0.0,0.0,0.0,0.0,0.0,0.0
0.945,0.0,0.0,0.0,0.0,0.0,0.0
0.966,0.0,0.0,0.0,0.0,0.0,0.0
0.987,0.0,0.0,0.0,0.0,0.0,0.0
1.008,0.0,0.0,0.0,0.0,0.0,0.0
1.056,0.0,0.0,0.0,0.0,0.0,0.0
1.077,0.0,0.0,0.0,0.0,0.0,0.0
1.098,0.0,0.0,0.0,0.0,0.0,0.0
1.119,0.0,0.0,0.0,0.0,0.0,0.0
1.14,0.0,0.0,0.0,0.0,0.0,0.0
1.161,0.0,0.0,0.0,0.0,0.0,0.0
1.182,0.0,0.0,0.0,0.0,0.0,0.0
1.203,0.0,0.0,0.0,0.0,0.0,0.0
1.224,0.0,0.0,0.0,0.0,0.0,0.0
1.271,0.0,0.0,0.0,0.0,0.0,0.0
1.292,0.0,0.0,0.0,0.0,0.0,0.0
1.313,0.0,0.0,0.0,0.0,0.0,0.0
1.334,0.0,0.0,0.0,0.0,0.0,0.0
1.355,0.0,0.0,0.0,0.0,0.0,0.0
1.375,0.0,0.0,0.0,0.0,0.0,0.0
1.396,0.0,0.0,0.0,0.0,0.0,0.0
